tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,damage
1,custom,0.153,0.000000,0.000,0.000000,0.600000,0.000000,-0.001076,1.000,-0.040,12.028,45.000,180.000,0.000021,35.000,0,0.000
2,custom,0.084,0.000000,0.000,0.000000,0.600000,0.000000,-0.000917,1.000,-0.036,12.015,45.000,180.000,0.000021,35.000,0,0.000
3,custom,1.189,0.000000,0.000,0.000000,0.600000,0.000000,-0.000736,1.000,-0.033,12.215,45.000,180.000,0.000021,35.000,0,0.000
4,custom,2.097,0.000000,0.000,0.000000,0.600000,0.000000,-0.001289,1.000,-0.045,12.379,45.000,180.000,0.000021,35.000,0,0.000
5,custom,3.013,0.000000,0.000,0.000000,0.600000,0.000000,-0.001241,1.000,-0.044,12.544,45.000,180.000,0.000021,35.000,0,0.000
6,custom,3.765,0.000000,0.000,0.000000,0.600000,0.000000,-0.000827,1.000,-0.034,12.680,45.000,180.000,0.000021,35.000,0,0.000
7,custom,4.713,0.000000,0.000,0.000000,0.600000,0.000000,-0.001335,1.000,-0.046,12.851,45.000,180.000,0.000021,35.000,0,0.000
8,custom,5.474,0.000000,0.000,0.000000,0.600000,0.000000,-0.001433,1.000,-0.048,12.988,45.000,180.000,0.000021,35.000,0,0.000
9,custom,6.200,0.000000,0.000,0.000000,0.600000,0.000000,-0.001035,1.000,-0.039,13.120,45.000,180.000,0.000021,35.000,0,0.000
10,custom,6.740,0.000000,0.000,0.000000,0.600000,0.000000,-0.001119,1.000,-0.041,13.217,45.000,180.000,0.000021,35.000,0,0.000
11,custom,7.454,0.000000,0.000,0.000000,0.600000,0.000000,-0.001184,1.000,-0.042,13.346,45.000,180.000,0.000021,35.144,0,0.000
12,custom,8.056,0.000000,0.000,0.000000,0.600000,0.000000,-0.001042,1.000,-0.039,13.454,45.000,180.000,0.000021,35.720,0,0.000
13,custom,8.639,0.000000,0.000,0.000000,0.600000,0.000000,-0.000927,1.000,-0.036,13.560,45.000,180.000,0.000021,36.279,0,0.000
14,custom,9.064,0.000000,0.000,0.000000,0.600000,0.000000,-0.000865,1.000,-0.035,13.637,45.000,180.000,0.000021,36.686,0,0.000
15,custom,9.644,0.000000,0.000,0.000000,0.600000,0.000000,-0.000805,1.000,-0.033,13.741,45.000,180.000,0.000021,37.242,0,0.000
16,custom,10.197,0.000000,0.000,0.000000,0.600000,0.000000,-0.000593,1.000,-0.028,13.841,45.000,180.000,0.000021,37.772,0,0.000
17,custom,10.820,0.000000,0.000,0.000000,0.600000,0.000000,-0.000631,1.000,-0.029,13.954,45.000,180.000,0.000021,38.370,0,0.000
18,custom,10.997,0.000000,0.000,0.000000,0.600000,0.000000,-0.001291,1.000,-0.027,13.985,45.000,180.000,0.000010,38.538,1,0.000
19,custom,11.683,0.000000,0.000,0.000000,0.600000,0.000000,-0.001172,1.000,-0.025,14.109,45.000,180.000,0.000010,39.196,1,0.000
20,custom,12.181,0.000000,0.000,0.000000,0.600000,0.000000,-0.001171,1.000,-0.025,14.199,45.000,180.000,0.000010,39.674,1,0.000
21,custom,13.135,0.000000,0.000,0.000000,0.600000,0.000000,-0.001012,1.000,-0.022,14.372,45.000,180.000,0.000010,40.588,1,0.000
22,custom,13.305,0.000000,0.000,0.000000,0.600000,0.000000,-0.000840,1.000,-0.020,14.402,45.000,180.000,0.000010,40.751,1,0.000
23,custom,13.764,0.000000,0.000,0.000000,0.600000,0.000000,-0.000609,1.000,-0.016,14.485,45.000,180.000,0.000010,41.191,1,0.000
24,custom,14.579,0.000000,0.000,0.000000,0.600000,0.000000,-0.000419,1.000,-0.013,14.632,45.000,180.000,0.000010,41.972,1,0.000
25,custom,15.144,0.000000,0.000,0.000000,0.600000,0.000000,-0.000276,1.000,-0.010,14.734,45.000,180.000,0.000010,42.513,1,0.000
26,custom,15.780,0.000000,0.000,0.000000,0.600000,0.000000,0.000003,1.000,-0.005,14.849,45.000,180.000,0.000010,43.122,1,0.000
27,custom,17.146,0.000000,0.000,0.000000,0.600000,0.000000,0.000263,1.000,-0.001,15.096,45.000,180.000,0.000010,44.432,1,0.000
28,custom,17.472,0.000000,0.000,0.000000,0.600000,0.000000,0.000486,1.000,0.003,15.155,45.000,180.000,0.000010,44.744,1,0.000
29,custom,18.201,0.000000,0.000,0.000000,0.600000,0.000000,0.000846,1.000,0.009,15.286,45.000,180.000,0.000010,45.443,1,0.000
30,custom,19.415,0.000000,0.000,0.000000,0.600000,0.000000,0.001226,1.000,0.016,15.505,45.000,180.000,0.000010,46.606,1,0.000
31,custom,20.739,0.000000,0.000,0.000000,0.600000,0.000000,0.001544,1.000,0.022,15.745,45.000,180.000,0.000010,47.875,1,0.000
32,custom,22.220,0.000000,0.000,0.000000,0.600000,0.000000,0.001796,1.000,0.026,16.012,45.000,180.000,0.000010,49.294,1,0.000
33,custom,23.447,0.000000,0.000,0.000000,0.600000,0.000000,0.001998,1.000,0.030,16.233,45.000,180.000,0.000010,50.470,1,0.000
34,custom,24.693,0.000000,0.000,-0.000000,0.600000,0.000000,0.002219,1.000,0.034,16.458,45.000,180.000,0.000010,51.664,1,0.000
35,custom,25.647,0.000000,0.003,-0.000005,0.600000,0.000000,0.002494,1.000,0.039,16.631,45.000,180.000,0.000010,52.579,1,0.000
36,custom,26.958,0.000000,0.009,-0.000025,0.600000,0.000000,0.002747,1.000,0.044,16.867,45.000,180.000,0.000010,53.835,1,0.000
37,custom,28.368,0.000000,0.018,-0.000050,0.600000,0.000000,0.003051,1.000,0.050,17.122,45.000,180.000,0.000010,55.186,1,0.000
38,custom,29.987,0.000000,0.032,-0.000065,0.600000,0.000000,0.003365,1.000,0.057,17.414,45.000,180.000,0.000017,56.738,1,0.000
39,custom,31.021,0.000000,0.043,-0.000081,0.600000,0.000000,0.003728,1.000,0.065,17.601,45.000,180.000,0.000017,57.729,1,0.000
40,custom,32.165,0.000000,0.034,-0.000066,0.600000,0.000000,0.004027,1.000,0.071,17.808,45.000,180.000,0.000017,58.825,1,0.000
41,custom,33.443,0.000000,0.078,-0.000174,0.600000,0.000000,0.004323,1.000,0.078,18.038,45.000,180.000,0.000017,60.050,1,0.000
42,custom,34.697,0.000000,0.114,-0.000228,0.600000,0.000000,0.004577,1.000,0.085,18.265,45.000,180.000,0.000017,61.252,1,0.000
43,custom,35.844,0.000000,0.118,-0.000227,0.600000,0.000000,0.007152,1.000,0.094,18.472,45.000,180.000,0.000028,62.351,2,0.000
44,custom,36.863,0.000000,0.123,-0.000245,0.600000,0.000000,0.007594,1.000,0.101,18.656,45.000,180.000,0.000028,63.327,2,0.000
45,custom,38.040,0.000000,0.137,-0.000265,0.600000,0.000000,0.007903,1.000,0.106,18.868,45.000,180.000,0.000028,64.455,2,0.000
46,custom,38.975,0.000000,0.113,-0.000217,0.600000,0.000000,0.008104,1.000,0.109,19.037,45.000,180.000,0.000028,65.351,2,0.000
47,custom,40.162,0.000000,0.103,-0.000230,0.594374,0.000000,0.008230,1.000,0.112,19.251,45.000,180.000,0.000028,66.489,2,0.000
48,custom,41.247,0.000000,0.149,-0.000292,0.479613,0.000000,0.008499,1.000,0.117,19.447,45.000,180.000,0.000028,67.528,2,0.000
49,custom,42.141,0.000000,0.095,-0.000203,0.453503,0.000000,0.008893,1.000,0.124,19.609,45.000,180.000,0.000028,68.385,2,0.000
50,custom,43.032,0.000000,0.107,-0.000211,0.000000,0.000000,0.009247,1.000,0.130,19.770,45.000,180.000,0.000037,69.239,2,0.000
51,custom,42.504,0.000000,0.017,-0.000041,0.600000,0.000000,0.009684,1.000,0.138,19.674,45.000,180.000,0.000037,68.733,2,0.000
52,custom,44.138,0.000000,0.160,-0.000373,0.000000,0.000000,0.009291,1.000,0.132,19.969,45.000,180.000,0.000037,70.299,2,0.000
53,custom,43.524,0.000000,-0.035,0.000117,0.000000,0.000000,0.009766,1.000,0.141,19.859,45.000,180.000,0.000037,69.711,2,0.000
54,custom,43.328,0.000000,-0.087,0.000147,0.000000,0.000000,0.009464,1.000,0.134,19.823,45.000,180.000,0.000037,69.523,2,0.000
55,custom,43.101,0.000000,0.001,-0.000008,0.000000,0.000000,0.009422,1.000,0.134,19.782,45.000,180.000,0.000037,69.305,2,0.000
56,custom,42.999,0.000000,-0.063,0.000133,0.600000,0.000000,0.009216,1.000,0.129,19.764,45.000,180.000,0.000037,69.207,2,0.000
57,custom,44.366,0.000000,0.032,-0.000116,0.000000,0.000000,0.012269,1.000,0.120,20.011,45.000,180.000,0.000037,70.517,3,0.000
58,custom,43.740,0.000000,-0.074,0.000188,0.000000,0.000000,0.013109,1.000,0.132,19.898,45.000,180.000,0.000037,69.918,3,0.000
59,custom,43.753,0.000000,-0.046,0.000062,0.000000,0.000000,0.013040,1.000,0.131,19.900,45.000,180.000,0.000037,69.930,3,0.000
60,custom,43.589,0.000000,0.036,-0.000078,0.000000,0.000000,0.013067,1.000,0.131,19.870,45.000,180.000,0.000037,69.773,3,0.000
61,custom,43.326,0.000000,-0.029,0.000080,0.000000,0.000000,0.012706,1.000,0.125,19.823,45.000,180.000,0.000037,69.520,3,0.000
62,custom,43.210,0.000000,-0.032,0.000086,0.000000,0.000000,0.012584,1.000,0.123,19.802,45.000,180.000,0.000037,69.409,3,0.000
63,custom,43.138,0.000000,-0.004,0.000017,0.000000,0.000000,0.012544,1.000,0.123,19.789,45.000,180.000,0.000037,69.340,3,0.000
64,custom,43.040,0.000000,0.002,-0.000026,0.000000,0.000000,0.012395,1.000,0.120,19.771,45.000,180.000,0.000037,69.246,3,0.000
65,custom,42.904,0.000000,-0.085,0.000191,0.600000,0.000000,0.012288,1.000,0.118,19.747,45.000,180.000,0.000037,69.116,3,0.000
66,custom,44.087,0.000000,-0.005,-0.000043,0.000000,0.000000,0.012175,1.000,0.116,19.960,45.000,180.000,0.000037,70.250,3,0.000
67,custom,43.709,0.000000,-0.111,0.000264,0.000000,0.000000,0.012811,1.000,0.128,19.892,45.000,180.000,0.000037,69.888,3,0.000
68,custom,43.458,0.000000,-0.264,0.000498,0.000000,0.000000,0.012822,1.000,0.127,19.847,45.000,180.000,0.000037,69.647,3,0.000
69,custom,43.361,0.000000,-0.058,0.000078,0.000000,0.000000,0.012966,1.000,0.129,19.829,45.000,180.000,0.000037,69.554,3,0.000
70,custom,43.164,0.000000,-0.113,0.000266,0.000000,0.000000,0.015928,1.000,0.109,19.794,45.000,180.000,0.000037,69.366,4,0.000
71,custom,42.958,0.000000,-0.120,0.000240,0.600000,0.000000,0.016050,1.000,0.111,19.756,45.000,180.000,0.000037,69.168,4,0.000
72,custom,44.459,0.000000,0.104,-0.000287,0.000000,0.000000,0.016380,1.000,0.116,20.027,45.000,180.000,0.000037,70.607,4,0.000
73,custom,43.699,0.000000,0.079,-0.000087,0.000000,0.000000,0.017377,1.000,0.131,19.890,45.000,180.000,0.000037,69.878,4,0.000
74,custom,43.583,0.000000,0.065,-0.000160,0.000000,0.000000,0.017418,1.000,0.132,19.869,45.000,180.000,0.000037,69.767,4,0.000
75,custom,43.475,0.000000,0.126,-0.000224,0.000000,0.000000,0.017233,1.000,0.130,19.850,45.000,180.000,0.000037,69.663,4,0.000
76,custom,43.368,0.000000,0.019,-0.000014,0.000000,0.000000,0.016798,1.000,0.123,19.830,45.000,180.000,0.000037,69.561,4,0.000
77,custom,43.315,0.000000,-0.043,0.000063,0.000000,0.000000,0.016658,1.000,0.120,19.821,45.000,180.000,0.000037,69.510,4,0.000
78,custom,43.071,0.000000,-0.053,0.000111,0.000000,0.000000,0.016600,1.000,0.119,19.777,45.000,180.000,0.000037,69.277,4,0.000
79,custom,42.974,0.000000,-0.040,0.000092,0.600000,0.000000,0.016592,1.000,0.119,19.759,45.000,180.000,0.000037,69.183,4,0.000
80,custom,44.141,0.000000,0.084,-0.000186,0.000000,0.000000,0.016554,1.000,0.118,19.970,45.000,180.000,0.000037,70.302,4,0.000
81,custom,43.612,0.000000,-0.044,0.000129,0.000000,0.000000,0.017175,1.000,0.130,19.874,45.000,180.000,0.000037,69.795,4,0.000
82,custom,43.573,0.000000,-0.043,0.000056,0.000000,0.000000,0.017183,1.000,0.130,19.867,45.000,180.000,0.000037,69.757,4,0.000
83,custom,43.490,0.000000,-0.016,0.000040,0.000000,0.000000,0.017019,1.000,0.127,19.852,45.000,180.000,0.000037,69.678,4,0.000
84,custom,43.216,0.000000,-0.059,0.000124,0.000000,0.000000,0.019662,1.000,0.095,19.803,45.000,180.000,0.000037,69.416,5,0.000
85,custom,43.148,0.000000,-0.048,0.000079,0.000000,0.000000,0.019611,1.000,0.094,19.791,45.000,180.000,0.000037,69.350,5,0.000
86,custom,42.890,0.000000,-0.036,0.000075,0.600000,0.000000,0.019662,1.000,0.094,19.744,45.000,180.000,0.000037,69.103,5,0.000
87,custom,44.210,0.000000,0.129,-0.000266,0.000000,0.000000,0.019643,1.000,0.095,19.982,45.000,180.000,0.000037,70.368,5,0.000
88,custom,43.668,0.000000,-0.063,0.000133,0.000000,0.000000,0.020598,1.000,0.109,19.884,45.000,180.000,0.000037,69.848,5,0.000
89,custom,43.584,0.000000,0.095,-0.000208,0.000000,0.000000,0.020502,1.000,0.108,19.869,45.000,180.000,0.000037,69.768,5,0.000
90,custom,43.628,0.000000,0.083,-0.000157,0.000000,0.000000,0.020486,1.000,0.108,19.877,45.000,180.000,0.000037,69.810,5,0.000
91,custom,43.288,0.000000,0.033,-0.000048,0.000000,0.000000,0.020283,1.000,0.105,19.816,45.000,180.000,0.000037,69.484,5,0.000
92,custom,43.302,0.000000,-0.013,0.000022,0.000000,0.000000,0.020102,1.000,0.102,19.818,45.000,180.000,0.000037,69.497,5,0.000
93,custom,43.132,0.000000,-0.002,0.000029,0.000000,0.000000,0.019918,1.000,0.099,19.788,45.000,180.000,0.000037,69.335,5,0.000
94,custom,43.056,0.000000,-0.054,0.000116,0.000000,0.000000,0.019888,1.000,0.098,19.774,45.000,180.000,0.000037,69.262,5,0.000
95,custom,42.993,0.000000,-0.056,0.000118,0.600000,0.000000,0.019847,1.000,0.097,19.763,45.000,180.000,0.000037,69.201,5,0.000
96,custom,44.157,0.000000,-0.030,0.000031,0.000000,0.000000,0.019795,1.000,0.095,19.973,45.000,180.000,0.000037,70.317,5,0.000
97,custom,43.658,0.000000,-0.131,0.000294,0.000000,0.000000,0.022559,1.000,0.067,19.883,45.000,180.000,0.000037,69.839,6,0.000
98,custom,43.550,0.000000,-0.117,0.000210,0.000000,0.000000,0.022496,1.000,0.066,19.863,45.000,180.000,0.000037,69.736,6,0.000
99,custom,43.410,0.000000,-0.067,0.000116,0.000000,0.000000,0.022590,1.000,0.067,19.838,45.000,180.000,0.000037,69.601,6,0.000
100,custom,43.234,0.000000,-0.092,0.000180,0.000000,0.000000,0.022594,1.000,0.067,19.806,45.000,180.000,0.000037,69.432,6,0.000
101,custom,43.081,0.000000,-0.073,0.000147,0.000000,0.000000,0.022659,1.000,0.068,19.778,45.000,180.000,0.000037,69.285,6,0.000
102,custom,42.916,0.000000,-0.028,0.000067,0.600000,0.000000,0.022716,1.000,0.069,19.749,45.000,180.000,0.000037,69.128,6,0.000
103,custom,44.005,0.000000,0.102,-0.000254,0.000000,0.000000,0.022743,1.000,0.070,19.945,45.000,180.000,0.000037,70.171,6,0.000
104,custom,43.737,0.000000,-0.049,0.000128,0.000000,0.000000,0.023526,1.000,0.082,19.897,45.000,180.000,0.000037,69.915,6,0.000
105,custom,43.569,0.000000,0.071,-0.000144,0.000000,0.000000,0.023559,1.000,0.083,19.867,45.000,180.000,0.000037,69.754,6,0.000
106,custom,43.376,0.000000,0.050,-0.000091,0.000000,0.000000,0.023501,1.000,0.083,19.832,45.000,180.000,0.000037,69.569,6,0.000
107,custom,43.292,0.000000,0.018,-0.000029,0.000000,0.000000,0.023357,1.000,0.080,19.817,45.000,180.000,0.000037,69.488,6,0.000
108,custom,43.136,0.000000,0.010,-0.000031,0.000000,0.000000,0.023227,1.000,0.078,19.788,45.000,180.000,0.000037,69.339,6,0.000
109,custom,43.004,0.000000,0.016,-0.000029,0.000000,0.000000,0.023216,1.000,0.078,19.765,45.000,180.000,0.000037,69.212,6,0.000
110,custom,42.782,0.000000,0.016,-0.000046,0.600000,0.000000,0.024597,1.000,0.039,19.725,45.000,180.000,0.000036,68.999,7,0.000
111,custom,44.014,0.000000,0.126,-0.000235,0.000000,0.000000,0.024578,1.000,0.039,19.947,45.000,180.000,0.000036,70.180,7,0.000
112,custom,43.501,0.000000,-0.060,0.000110,0.000000,0.000000,0.025442,1.000,0.051,19.854,45.000,180.000,0.000036,69.689,7,0.000
113,custom,43.385,0.000000,0.034,-0.000085,0.000000,0.000000,0.025412,1.000,0.051,19.833,45.000,180.000,0.000036,69.577,7,0.000
114,custom,43.383,0.000000,-0.013,0.000059,0.000000,0.000000,0.025326,1.000,0.050,19.833,45.000,180.000,0.000036,69.576,7,0.000
115,custom,43.250,0.000000,-0.065,0.000123,0.000000,0.000000,0.025116,1.000,0.046,19.809,45.000,180.000,0.000036,69.448,7,0.000
116,custom,43.098,0.000000,-0.068,0.000127,0.000000,0.000000,0.025138,1.000,0.046,19.782,45.000,180.000,0.000036,69.302,7,0.000
117,custom,42.959,0.000000,-0.017,0.000019,0.600000,0.000000,0.025280,1.000,0.049,19.757,45.000,180.000,0.000036,69.169,7,0.000
118,custom,44.098,0.000000,0.094,-0.000201,0.000000,0.000000,0.025335,1.000,0.050,19.962,45.000,180.000,0.000036,70.261,7,0.000
119,custom,43.431,0.000000,-0.010,0.000061,0.000000,0.000000,0.026009,1.000,0.062,19.842,45.000,180.000,0.000036,69.621,7,0.000
120,custom,43.467,0.000000,-0.040,0.000070,0.000000,0.000000,0.025849,1.000,0.059,19.848,45.000,180.000,0.000036,69.656,7,0.000
121,custom,43.352,0.000000,-0.030,0.000052,0.000000,0.000000,0.025737,1.000,0.057,19.827,45.000,180.000,0.000036,69.545,7,0.000
122,custom,43.166,0.000000,-0.026,0.000074,0.000000,0.000000,0.025655,1.000,0.055,19.794,45.000,180.000,0.000036,69.367,7,0.000
123,custom,43.097,0.000000,-0.045,0.000082,0.000000,0.000000,0.026742,1.000,0.029,19.781,45.000,180.000,0.000025,69.301,8,0.000
124,custom,42.878,0.000000,0.064,-0.000158,0.600000,0.000000,0.026918,1.000,0.032,19.742,45.000,180.000,0.000025,69.092,8,0.000
125,custom,44.072,0.000000,0.139,-0.000304,0.000000,0.000000,0.026740,1.000,0.029,19.957,45.000,180.000,0.000025,70.236,8,0.000
126,custom,43.401,0.000000,0.031,-0.000023,0.000000,0.000000,0.027535,1.000,0.041,19.836,45.000,180.000,0.000025,69.593,8,0.000
127,custom,43.503,0.000000,-0.000,-0.000026,0.000000,0.000000,0.027215,1.000,0.036,19.855,45.000,180.000,0.000025,69.691,8,0.000
128,custom,43.232,0.000000,-0.070,0.000160,0.000000,0.000000,0.027001,1.000,0.033,19.806,45.000,180.000,0.000025,69.431,8,0.000
129,custom,43.161,0.000000,-0.077,0.000157,0.000000,0.000000,0.026880,1.000,0.031,19.793,45.000,180.000,0.000025,69.363,8,0.000
130,custom,42.961,0.000000,-0.092,0.000177,0.600000,0.000000,0.026872,1.000,0.030,19.757,45.000,180.000,0.000025,69.171,8,0.000
131,custom,44.072,0.000000,0.034,-0.000108,0.000000,0.000000,0.026964,1.000,0.032,19.958,45.000,180.000,0.000025,70.236,8,0.000
132,custom,43.648,0.000000,-0.057,0.000128,0.000000,0.000000,0.027654,1.000,0.044,19.881,45.000,180.000,0.000025,69.829,8,0.000
